[dotenv@17.2.3] injecting env (6) from .env.local -- tip: ⚙️  enable debug logging with { debug: true },,,,,,,,,,
id,name,station_id,lat,lng,distance_m,walking_min,issue,Address,,
c0ee761c-3642-44ac-8ab4-5e43de938de9,He Jia Huan Ban Mian Mee Hoon Kway,null,,,,,No coordinates,"75 Lor. 5 Toa Payoh, #01-14, Singapore 310075","85 Redhill Ln, #01-69, Singapore 150085","90 Whampoa Dr, #01-66, Singapore 320090"
f9032b1d-f5cb-47f5-83d0-f1b4b767ed14,Hopscotch,null,,,,,No coordinates,"45 Malan Rd, Singapore 109455",,
,,,,,,,,,,
,,,,,,,,,,
3f9133d6-038f-4261-83c5-ad5d60b9548b,Onalu,null,,,,,No coordinates,"60 Stamford Rd, #01-11, Singapore 178900",,
df4c0125-77fd-4f46-bfc4-b3fc6f7759fc,Peppermint,null,,,,,No coordinates,"6 Raffles Blvd, Level 4 PARKROYAL COLLECTION Marina Bay, Singapore 039594",,
140e2a23-3177-4a81-b461-526435124125,Rappu,null,,,,,No coordinates,"52 Duxton Rd, Singapore 089516",,
,,,,,,,,,,
f4ed9fbf-d4f6-4916-aeb0-1e12b983a3ce,Yi Xuan Handmade Banmian Eating House,macpherson,,,517,,No coordinates,"35 Circuit Rd, Block 35, Singapore 370035",,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
9d39ddf5-20ec-4b8a-ad77-13296dfc0c5c,Noodle Memories,null,,,,,No coordinates,"Upper Cross St, #02-28",,
0c44cf9e-273c-451a-8d61-ed1ccb39a975,JB Ah Meng,null,,,,,No coordinates,"534 Geylang Rd, Singapore 389490",,
,,,,,,,,,,
1e1fdc1c-10d3-4cf0-af81-7134f0aecef7,Loong Fatt Tau Sar Piah,null,,,,,No coordinates,"639 Balestier Rd, Singapore 329922",,
70b84213-07ac-41de-b07c-ad48b8517a8e,Mr and Mrs Mohgan's Super Crispy Roti Prata,null,,,,,No coordinates,"300 Joo Chiat Rd, Tin Yeang Restaurant, Singapore 427551",,
,,,,,,,,,,
f9903574-a671-4e8a-860b-f8ee2416263c,Ocean Curry Fish Head,null,,,,,No coordinates,"92 Lor 4 Toa Payoh, #01-264 Block 92, Singapore 310092",,
b927d55f-af4c-442f-93e9-399fda2920d4,Oyster Boy,null,,,,,No coordinates,"505 Beach Rd, #01-111, Singapore 199583",,
79b8fb21-c32a-4bdb-9f72-977d81126b9d,Pho Hanoi,null,,,,,No coordinates,"7 Maxwell Rd, #02-104, Singapore 069111",,
d6af0e79-c740-442b-8838-20cfdf051287,Rajarani Thosai,null,,,,,No coordinates,"137 Tampines St. 11, #01-33, Singapore 521137",,
1adc83ef-eb5f-4999-8a0a-835ec2f9028b,Rayyan's Waroeng Upnormal,null,,,,,No coordinates,"7 Maxwell Rd, #02-86, Singapore 069111",,
a79aa406-edca-44c1-9328-f391706120d4,Soi Aroy,null,,,,,No coordinates,"91 Pasir Panjang Rd, Singapore 118512",,
c9d07a53-21b2-4fb7-98e4-d88955d8d6fa,Traditional Haig Road Putu Piring,null,,,,,No coordinates,"430 Upper Changi Rd, #01-14, Singapore 486936",,
093aebca-2a6d-4076-9ae0-23de4586ee59,Unagi Tei,null,,,,,No coordinates,"1 Keong Saik Rd., #01-01, Singapore 089109",,
ee3e082b-7f8b-463f-8338-ac310b1998c4,Golden Nur,null,,,,,No coordinates,"86 Market St, #03-11/12, Singapore 048947",,
,,,,,,,,,,
,,,,,,,,,,
67851625-3085-4aa2-8250-0c9b05bd0005,Cenzo,null,,,,,No coordinates,"81 Club St, Singapore 069449",,
f62bcc3b-5f16-4a0b-bd8e-bfd0953917ad,Chi Le Mah,null,,,,,No coordinates,"505 Beach Rd, #01-87, Singapore 199583",,
5280fc8b-139d-4de7-8337-72bd5345e56d,Dong Ji Fried Kway Teow,null,,,,,No coordinates,"51 Old Airport Rd, #01-138, Singapore 390051",,
,,,,,,,,,,
16bd6af8-f393-454c-aadd-fe90e9c4e587,La Porpo,null,,,,,No coordinates,La Porpo,,
489a6183-1846-48eb-beab-fb5ad6e6bece,Mr Biryani,null,,,,,No coordinates,"11 Chander Rd, #01-01, Singapore 219529",,
,,,,,,,,,,
,,,,,,,,,,
a39c1c58-bf34-4186-8ed4-3d0d46a280ab,Pepper Bowl,null,,,,,No coordinates,"7 Maxwell Rd, #02-102, Singapore 069111",,
,,,,,,,,,,
03d9236a-1ea3-48fe-ba58-ca34c40dfde2,Tee Kitchen,null,,,,,No coordinates,"505 Beach Rd, #01-78 Golden Mile Food Centre, Singapore 199583",,
98b41aea-41a7-4e1e-a820-1134bfbf009e,Yusoff Haji Jalal aka Satay Club,null,,,,,No coordinates,"121 Pasir Panjang Rd, #01-21, Singapore 118543",,
cccf48c3-74cb-4b10-b6b0-791e27f9a973,Yanxi Palace Steamboat,null,,,,,No coordinates,"Blk 531 Upper Cross St, #01-49 Hong Lim Complex, Singapore 050531",,
06f438c1-c832-4090-afb5-1e5dba59cabf,Generation Coffee Roasters,null,,,,,No coordinates,"531A Upper Cross St, #01-59, Singapore 051531",,
5f992391-11e4-4335-a725-c4677eb1de84,Cat In The Hat Bakery,null,,,,,No coordinates,"505 Beach Rd, #01-106 Golden Mile Food Centre, Singapore 199583",,
df6b08b8-1753-4636-9019-1756afdd832d,Tracy's Sarawak Kitchen,hougang,,,500,7,No coordinates,"90 Lor 25A Geylang, Singapore 388265",,
