id,name,mall_id,level
"treasures-yi-dian-xin-jewel","Treasures Yi Dian Xin","jewel-changi-airport","#01-221"
"mei-wei-ban-mian-mee-hoon-kueh-toa-payoh-hdb-hub","Mei Wei Ban Mian. Mee Hoon Kueh","toa-payoh-hdb-hub",""
"old-chang-kee-united-square","Old Chang Kee","united-square","#01-K2"
"50-taste-of-tradition-united-square","50年 Taste of Tradition","united-square","#01-58"
"carls-jr-singpost","Carl's Jr","singpost-centre",""
"bai-wei-mini-bowl-singpost","Bai Wei Mini Bowl","singpost-centre",""
"bibimbap-singpost","Bibimbap!","singpost-centre",""
"chicken-hotpot-singpost","Chicken Hotpot","singpost-centre",""
"toast-box-amk-hub-amk-hub","Toast Box (AMK Hub)","amk-hub",""
"grab-gold-caf-singpost","grab & Gold® Café","singpost-centre",""
"kaffe-toast-thai-noodle-bar-singpost","Kaffe & Toast / Thai Noodle Bar","singpost-centre",""
"hjh-maimunah-singpost","HJH Maimunah","singpost-centre",""
